country_name,country_code,energy_use,pop,gdp
Albania,ALB,8480.0654,2837743,15156432310
Algeria,DZA,12958.346,43851043,1.74911E+11
Angola,AGO,6058.792,32866268,77792940077
Argentina,ARG,22430.227,45376763,5.2482E+11
Australia,AUS,67373.945,25687041,1.42853E+12
Austria,AUT,47115.41,8917205,4.55168E+11
Azerbaijan,AZE,14881.197,10110116,47112941176
Bangladesh,BGD,2404.6323,164689383,3.21379E+11
Bolivia,BOL,7398.2837,11673029,40287647931
Bosnia and Herzegovina,BIH,20342.27,3280815,20177422311
Brazil,BRA,15799.384,212559409,1.91693E+12
Cambodia,KHM,4306.1245,16718971,24571753583
China,CHN,22733.424,1402112000,1.38948E+13
Congo,COG,4563.229,5518092,13670038020
Cote d'Ivoire,CIV,5756.2998,26378275,58011466451
Cyprus,CYP,25531.664,1207361,25522671233
Dominican Republic,DOM,9032.8945,10847904,85555378043
Ethiopia,ETH,5660.2085,114963583,84269348327
Ghana,GHA,3476.3513,31072945,67299280680
Guatemala,GTM,8314.4063,16858333,73208583759
Honduras,HND,6381.7476,9904608,24067778954
Hungary,HUN,29876.877,9749763,1.60587E+11
Indonesia,IDN,10200.39,273523621,1.04227E+12
Iran,IRN,32208.861,83992953,3.30992E+11
Ireland,IRL,36657.801,4994724,3.85042E+11
Jamaica,JAM,11064.892,2961161,15730793853
Japan,JPN,45278.691,125836021,5.03784E+12
Kazakhstan,KAZ,49251.316,18754440,1.7934E+11
Kenya,KEN,5401.1279,53771300,92202956321
Latvia,LVA,24988.842,1901548,34429023435
Lebanon,LBN,14976.81,6825442,54901519156
Luxembourg,LUX,96871.836,632275,71285019397
Malta,MLT,23403.232,525285,15301279478
Mauritius,MUS,12251.652,1265740,14181951059
Mexico,MEX,17814.334,128932753,1.22241E+12
Moldova,MDA,14254.706,2617820,11457443185
Mongolia,MNG,16857.316,3278292,13178094459
Montenegro,MNE,22077.094,621718,5506944403
Morocco,MAR,6141.8496,36910558,1.18096E+11
Mozambique,MOZ,4922.6035,31255435,14845400593
Myanmar,MMR,3222.5864,54409794,67144725831
Niger,NER,1574.1954,24206636,12808660528
North Macedonia,MKD,16295.738,2083380,12683070061
Norway,NOR,80649.289,5379475,4.37E+11
Panama,PAN,11521.519,4314768,64929409200
Russia,RUS,56045.445,144104080,1.65733E+12
Serbia,SRB,24900.473,6908224,50640650221
Sri Lanka,LKA,5591.3765,21919000,87963042341
Sweden,SWE,63126.766,10353442,5.55455E+11
Syria,SYR,11791.846,17500657,21445775364
Tajikistan,TJK,3361.9187,9537642,7765014424
Thailand,THA,20395.561,69799978,5.06755E+11
Tunisia,TUN,11243.42,11818618,42685972269
Turkey,TUR,17150.391,84339067,7.78472E+11
Ukraine,UKR,33575.715,44134693,1.30891E+11
United Arab Emirates,ARE,83912.898,9890400,4.22215E+11
Uruguay,URY,14149.555,3473727,64515038268
Uzbekistan,UZB,17594.115,34232050,52633143808
Vietnam,VNM,7788.6099,97338583,3.08702E+11
Yemen,YEM,3933.9653,29825968,21606161066
